,Landmark Name,Latitude,Longitude,Number of EV charger station,Charger Info
10,Federation Square,-37.8178516571684,144.968963600783,32,"[{'name': 'Secure Parking (450 Flinders Lane)', 'distance': 892.955126554244, 'location': (-37.818758, 144.958866)}, {'name': 'Park Hyatt Melbourne', 'distance': 910.7103126538419, 'location': (-37.811933, 144.976125)}, {'name': 'Wilson Parking', 'distance': 736.2608511890633, 'location': (-37.811294, 144.967823)}, {'name': 'Collins St', 'distance': 335.9661636598313, 'location': (-37.81496609, 144.9700935)}, {'name': 'Lonsdale St', 'distance': 869.1296887553491, 'location': (-37.81005952, 144.9696999)}, {'name': 'Lonsdale St', 'distance': 871.7473726512952, 'location': (-37.81137439, 144.9633783)}, {'name': 'Flinders Ln', 'distance': 909.8379276501139, 'location': (-37.81861176, 144.9586537)}, {'name': 'Holiday Inn Express Melbourne Southbank', 'distance': 493.47716873374446, 'location': (-37.821895, 144.966652)}, {'name': 'Russell St', 'distance': 681.7372316553366, 'location': (-37.81180407, 144.9677026)}, {'name': 'Russell St', 'distance': 736.3775013857462, 'location': (-37.81129305, 144.967822)}, {'name': 'Wilson Parking Eureka', 'distance': 544.0578401747489, 'location': (-37.821726, 144.965184)}, {'name': 'Southbank', 'distance': 401.59722465577846, 'location': (-37.82123242, 144.9673592)}, {'name': 'Flinders St', 'distance': 251.8701274068394, 'location': (-37.81621089, 144.9709391)}, {'name': 'Southbank', 'distance': 398.9623809057257, 'location': (-37.82076345, 144.9663122)}, {'name': 'Secure Parking (Southern Cross)', 'distance': 602.6980142565491, 'location': (-37.812452, 144.969535)}, {'name': 'Southbank', 'distance': 946.2494880915035, 'location': (-37.81609341, 144.9584272)}, {'name': 'Parliament PI', 'distance': 999.4685927002758, 'location': (-37.8110789, 144.9764385)}, {'name': 'Southbank', 'distance': 481.4721057587301, 'location': (-37.82082443, 144.9649806)}, {'name': 'ACDC Garage', 'distance': 244.0498535646223, 'location': (-37.816185, 144.97077)}, {'name': 'Melbourne Central Carpark', 'distance': 831.8697144926263, 'location': (-37.811734, 144.963518)}, {'name': 'Lonsdale St', 'distance': 824.3254979008182, 'location': (-37.81067877, 144.9666047)}, {'name': 'Secure Parking (300 Flinders St)', 'distance': 436.84252579585734, 'location': (-37.818268, 144.96402)}, {'name': 'Bourke St', 'distance': 661.1389731159218, 'location': (-37.81211268, 144.9709222)}, {'name': 'Queens & Collins', 'distance': 690.011517787807, 'location': (-37.81594, 144.961493)}, {'name': 'Lonsdale St', 'distance': 864.1932919964023, 'location': (-37.81017999, 144.9705189)}, {'name': 'Grand Hyatt Melbourne', 'distance': 340.49371304819357, 'location': (-37.814844, 144.969685)}, {'name': 'Federation Square Car Park', 'distance': 204.09728700860072, 'location': (-37.817739, 144.971282)}, {'name': 'Flinders Ln', 'distance': 996.000067507902, 'location': (-37.81890714, 144.9577073)}, {'name': 'The Arts Centre', 'distance': 552.7609099585144, 'location': (-37.822715, 144.96767)}, {'name': 'Bourke St', 'distance': 860.910511908771, 'location': (-37.81581182, 144.9595123)}, {'name': 'Flinders St', 'distance': 435.71249547798647, 'location': (-37.8180318, 144.9640101)}, {'name': 'QV Melbourne - Car Park', 'distance': 824.3825540730834, 'location': (-37.810679, 144.966601)}]"
11,New Quay,-37.8152178789077,144.941617889032,5,"[{'name': 'District Docklands Shopping - West Carpark', 'distance': 487.15613755400653, 'location': (-37.812855, 144.93695)}, {'name': 'Docklands', 'distance': 459.0416370344745, 'location': (-37.81279364, 144.9373902)}, {'name': 'Docklands', 'distance': 404.72012138022586, 'location': (-37.81209916, 144.9392454)}, {'name': 'Docklands', 'distance': 355.4107788702558, 'location': (-37.81254895, 144.939394)}, {'name': 'Cellarbrations', 'distance': 880.8990180382176, 'location': (-37.809802, 144.948932)}]"
12,New Quay Marina,-37.8152925454954,144.942283726231,7,"[{'name': 'District Docklands Shopping - West Carpark', 'distance': 541.4576533417669, 'location': (-37.812855, 144.93695)}, {'name': 'Docklands', 'distance': 512.0171695300537, 'location': (-37.81279364, 144.9373902)}, {'name': 'Docklands', 'distance': 444.35125008375405, 'location': (-37.81209916, 144.9392454)}, {'name': 'West Melbourne', 'distance': 959.7045706974022, 'location': (-37.81010363, 144.9510094)}, {'name': 'Docklands', 'distance': 396.9978722078524, 'location': (-37.81254895, 144.939394)}, {'name': 'Flagstaff City Inn', 'distance': 961.5921576441611, 'location': (-37.810116, 144.951048)}, {'name': 'Cellarbrations', 'distance': 845.1452939485649, 'location': (-37.809802, 144.948932)}]"
13,Newmarket Reserve,-37.7878473341234,144.922972125346,0,N/a
14,Wonderland Park,-37.8116945351989,144.936833674975,4,"[{'name': 'District Docklands Shopping - West Carpark', 'distance': 129.48242275874264, 'location': (-37.812855, 144.93695)}, {'name': 'Docklands', 'distance': 131.67185609852973, 'location': (-37.81279364, 144.9373902)}, {'name': 'Docklands', 'distance': 216.65568111942824, 'location': (-37.81209916, 144.9392454)}, {'name': 'Docklands', 'distance': 244.2356748306062, 'location': (-37.81254895, 144.939394)}]"
15,Rod Laver Arena,-37.8220456119807,144.978487173787,7,"[{'name': 'Southbank', 'distance': 981.9127304844436, 'location': (-37.82123242, 144.9673592)}, {'name': 'Flinders St', 'distance': 927.9303170305951, 'location': (-37.81621089, 144.9709391)}, {'name': 'Pullman Melbourne on the Park', 'distance': 791.58767065795, 'location': (-37.815994, 144.983228)}, {'name': 'ACDC Garage', 'distance': 940.6009734699803, 'location': (-37.816185, 144.97077)}, {'name': 'Pullman Melbourne', 'distance': 809.4423857941441, 'location': (-37.81581134, 144.9832392)}, {'name': 'Federation Square Car Park', 'distance': 793.8882467750158, 'location': (-37.817739, 144.971282)}, {'name': 'The Arts Centre', 'distance': 953.3323845537437, 'location': (-37.822715, 144.96767)}]"
16,Melbourne Park,-37.8209085970021,144.978735802793,6,"[{'name': 'Flinders St', 'distance': 861.5999295095128, 'location': (-37.81621089, 144.9709391)}, {'name': 'Pullman Melbourne on the Park', 'distance': 674.259680848416, 'location': (-37.815994, 144.983228)}, {'name': 'ACDC Garage', 'distance': 875.1863037601855, 'location': (-37.816185, 144.97077)}, {'name': 'Pullman Melbourne', 'distance': 691.3971223882805, 'location': (-37.81581134, 144.9832392)}, {'name': 'Federation Square Car Park', 'distance': 743.7965211270503, 'location': (-37.817739, 144.971282)}, {'name': 'The Arts Centre', 'distance': 992.8171887640528, 'location': (-37.822715, 144.96767)}]"
17,Hisense Arena,-37.823110002667,144.981834802535,2,"[{'name': 'Pullman Melbourne on the Park', 'distance': 800.9220392435977, 'location': (-37.815994, 144.983228)}, {'name': 'Pullman Melbourne', 'distance': 821.1537708327245, 'location': (-37.81581134, 144.9832392)}]"
18,Elisabeth Murdoch Hall,-37.8239733704282,144.967450979234,18,"[{'name': 'Secure Parking', 'distance': 916.70247290151, 'location': (-37.832108, 144.969126)}, {'name': 'South Melbourne', 'distance': 872.3393231074862, 'location': (-37.82974328, 144.960726)}, {'name': 'Secure Parking (450 Flinders Lane)', 'distance': 951.5766179321126, 'location': (-37.818758, 144.958866)}, {'name': 'South Melbourne', 'distance': 930.8994527761453, 'location': (-37.83103692, 144.961768)}, {'name': 'Flinders Ln', 'distance': 976.2810838499812, 'location': (-37.81861176, 144.9586537)}, {'name': 'Holiday Inn Express Melbourne Southbank', 'distance': 241.60025764649436, 'location': (-37.821895, 144.966652)}, {'name': 'South Melbourne', 'distance': 891.8665196610607, 'location': (-37.83189437, 144.9690271)}, {'name': 'Crown Metropol Melbourne', 'distance': 874.3091320408502, 'location': (-37.825511, 144.957692)}, {'name': 'Wilson Parking Eureka', 'distance': 319.6250527790371, 'location': (-37.821726, 144.965184)}, {'name': 'Southbank', 'distance': 304.98208467841414, 'location': (-37.82123242, 144.9673592)}, {'name': 'Flinders St', 'distance': 916.2014656139834, 'location': (-37.81621089, 144.9709391)}, {'name': 'Southbank', 'distance': 370.79363028771064, 'location': (-37.82076345, 144.9663122)}, {'name': 'Southbank', 'distance': 412.05737743066993, 'location': (-37.82082443, 144.9649806)}, {'name': 'ACDC Garage', 'distance': 914.0676247643372, 'location': (-37.816185, 144.97077)}, {'name': 'Secure Parking (300 Flinders St)', 'distance': 702.5693877604205, 'location': (-37.818268, 144.96402)}, {'name': 'Federation Square Car Park', 'distance': 770.8278442914421, 'location': (-37.817739, 144.971282)}, {'name': 'The Arts Centre', 'distance': 141.28496820783388, 'location': (-37.822715, 144.96767)}, {'name': 'Flinders St', 'distance': 726.7495536060312, 'location': (-37.8180318, 144.9640101)}]"
19,Melbourne Recital Centre,-37.8238327885805,144.967682729667,18,"[{'name': 'Secure Parking', 'distance': 929.1431357361156, 'location': (-37.832108, 144.969126)}, {'name': 'South Melbourne', 'distance': 897.6450324701134, 'location': (-37.82974328, 144.960726)}, {'name': 'Secure Parking (450 Flinders Lane)', 'distance': 958.5067365210549, 'location': (-37.818758, 144.958866)}, {'name': 'South Melbourne', 'distance': 955.0581257878098, 'location': (-37.83103692, 144.961768)}, {'name': 'Flinders Ln', 'distance': 983.1647498622596, 'location': (-37.81861176, 144.9586537)}, {'name': 'Holiday Inn Express Melbourne Southbank', 'distance': 233.7923100479549, 'location': (-37.821895, 144.966652)}, {'name': 'South Melbourne', 'distance': 904.433582553323, 'location': (-37.83189437, 144.9690271)}, {'name': 'Crown Metropol Melbourne', 'distance': 897.4086689835888, 'location': (-37.825511, 144.957692)}, {'name': 'Wilson Parking Eureka', 'distance': 321.1123569887688, 'location': (-37.821726, 144.965184)}, {'name': 'Southbank', 'distance': 290.632038699701, 'location': (-37.82123242, 144.9673592)}, {'name': 'Flinders St', 'distance': 894.7627403369746, 'location': (-37.81621089, 144.9709391)}, {'name': 'Southbank', 'distance': 362.0162937088419, 'location': (-37.82076345, 144.9663122)}, {'name': 'Southbank', 'distance': 410.2876793816247, 'location': (-37.82082443, 144.9649806)}, {'name': 'ACDC Garage', 'distance': 892.8661015614998, 'location': (-37.816185, 144.97077)}, {'name': 'Secure Parking (300 Flinders St)', 'distance': 697.6341202823392, 'location': (-37.818268, 144.96402)}, {'name': 'Federation Square Car Park', 'distance': 747.9570507442567, 'location': (-37.817739, 144.971282)}, {'name': 'The Arts Centre', 'distance': 124.33646785549169, 'location': (-37.822715, 144.96767)}, {'name': 'Flinders St', 'distance': 721.4349318753842, 'location': (-37.8180318, 144.9640101)}]"
