,Unnamed: 0,feature_name,Latitude,Longitude
0,0,Port of Melbourne,-37.8137384362671,144.91753432375
1,1,Carlton Football Club,-37.7840864379557,144.961967841559
2,2,Carlton Gardens North,-37.8017690847403,144.971997551189
3,3,Kings Domain,-37.8255239795833,144.974107925144
4,4,Flemington Racecourse,-37.7908082646624,144.912142987372
5,5,Treasury Gardens,-37.8143993575938,144.975952335785
6,6,Melbourne Magistrates Court,-37.8136147671606,144.956846193891
7,7,Flagstaff Railway Station,-37.8122356514626,144.956318211113
8,8,Melbourne Cricket Ground (MCG),-37.8194921618419,144.983402879078
9,9,Queen Victoria Gardens,-37.8216381244891,144.971049530478
10,10,Federation Square,-37.8178516571684,144.968963600783
11,11,New Quay,-37.8152178789077,144.941617889032
12,12,New Quay Marina,-37.8152925454954,144.942283726231
13,13,Newmarket Reserve,-37.7878473341234,144.922972125346
14,14,Wonderland Park,-37.8116945351989,144.936833674975
15,15,Rod Laver Arena,-37.8220456119807,144.978487173787
16,16,Melbourne Park,-37.8209085970021,144.978735802793
17,17,Hisense Arena,-37.823110002667,144.981834802535
18,18,Elisabeth Murdoch Hall,-37.8239733704282,144.967450979234
19,19,Melbourne Recital Centre,-37.8238327885805,144.967682729667
20,20,J.J Holland Park,-37.7982358832177,144.923837074813
21,21,South Kensington Railway Station,-37.7997270537735,144.925837749713
22,22,Royal Park Railway Station,-37.7812684282825,144.951667833921
23,23,Flagstaff Railway Station,-37.8116384403974,144.9561186805
24,24,Melbourne Central Railway Station,-37.8105992402369,144.96169061383
25,25,Melbourne Central Railway Station,-37.8108930047401,144.963100728702
26,26,Riverside Park,-37.7948375315825,144.915607065132
27,27,Flagstaff Gardens,-37.8111222889277,144.954696055235
28,28,Fawkner Park,-37.8413996708186,144.981625667877
29,29,Fitzroy Gardens,-37.8129616331579,144.980455714669
30,30,Enterprize Park,-37.820210269629,144.959276859602
31,31,Flinders Street Railway Station,-37.8179063007545,144.967064817875
32,32,Metropolitan Fire Brigade (MFB),-37.8092318636838,144.975247619376
33,33,Commonwealth Law Courts,-37.8123961677596,144.955823833257
34,34,Macarthur Square,-37.7983318676737,144.971514146104
35,35,City Baths,-37.8071585350561,144.963189789721
36,36,Westgate Park,-37.8314918578874,144.908824792698
37,37,North Melbourne Railway Station,-37.8073823625058,144.942429848025
38,38,Melbourne Childrens Court,-37.8125077646598,144.958298873269
39,39,Etihad Stadium,-37.8161760471742,144.947496254547
40,40,Eureka Skydeck 88,-37.8216187583314,144.964622218598
41,41,County Court Melbourne,-37.8132011619962,144.957734246387
42,42,Sandridge Rail Bridge,-37.8201763042794,144.96298113724
43,43,Lincoln Square,-37.8027919689732,144.962760852233
44,44,Flemington Bridge Railway Station,-37.7881645889621,144.939277838304
45,45,Carlton Gardens South,-37.8060684577258,144.971266479841
46,46,Victoria Police,-37.8003121288849,144.954697453742
47,47,Victoria Police,-37.8219773910249,144.953398014034
48,48,Royal Park Golf Course,-37.7819171308558,144.956309119368
49,49,Visy Park,-37.7834303940347,144.961982577553
50,50,Batman Park,-37.8218460949601,144.956665812218
51,51,Melbourne Town Hall,-37.8150754791411,144.966542722283
52,52,Sidney Myer Music Bowl,-37.8233471608733,144.974686151365
53,53,AAMI Park,-37.8247252673963,144.98380297866
54,54,Melbourne Star Observation Wheel,-37.8116163666726,144.937588920436
55,55,Margaret Court Arena,-37.8213252086842,144.977591098955
56,56,NGV International,-37.8230135000869,144.969342535451
57,57,Birrarung Marr,-37.81806108403,144.97314667014
58,58,Artplay,-37.8184198800044,144.971542586509
59,59,Riverslide Skate Park,-37.8207887122448,144.972951789291
60,60,Macaulay Railway Station (North Melbourne) - Train stop,-37.794964001386,144.936190756632
61,61,Kensington Railway Station,-37.7939140126373,144.930710207518
62,62,Royal Park,-37.7906174256581,144.953834240647
63,63,Shrine of Rembrance Reserve,-37.8320733992876,144.973628364465
