WKT,name,description
"POINT (144.3108252 -38.3403529)",Chargefox Charging Station,
"POINT (144.5401692 -38.2466497)",Chargefox Charging Station,
"POINT (144.3690613 -38.231627)",Chargefox Charging Station,
"POINT (144.3216554 -38.3070309)",Chargefox Charging Station,
"POINT (144.3249832 -38.3312371)",Evie Charging Station,
"POINT (144.2761518 -38.2597312)",Tesla Destination Charger,
"POINT (144.2524204 -38.2777861)",EVUp Charging Station,
"POINT (144.2736096 -38.2569059)",EVUp Charging Station,
"POINT (144.555 -38.18944)",Chargefox Charging Station,
"POINT (144.4644131 -38.18622049999999)",Chargefox Charging Station,
"POINT (145.111212 -37.8443581)",Chargefox Charging Station,
"POINT (145.1220999 -37.8191017)",Chargefox Charging Station,
"POINT (145.0160005 -37.6532174)",Tesla Destination Charger,
"POINT (145.0081637 -37.6497003)",Electric Vehicle Charging Station,
"POINT (145.0092092 -37.6377179)",Electric Vehicle Charging Station,
"POINT (145.0735554 -37.6595682)",AmpCharge Charging Station,
"POINT (145.0629935 -37.6815643)",Chargefox Charging Station,
"POINT (144.9147733 -37.6163148)",Chargefox Charging Station,
"POINT (144.8981234 -37.5729311)",Chargefox Charging Station,
"POINT (144.8982023 -37.5344243)",bp pulse Charging Station,
"POINT (144.957692 -37.825511)",Tesla Destination Charger,
"POINT (144.9671642 -37.8021782)",Exploren Charging Station,
"POINT (144.9687956 -37.8162143)",EVUp Charging Station,
"POINT (144.9577647 -37.77268349999999)",Chargefox Charging Station,
"POINT (145.0014685 -37.7774995)",EVUp Charging Station,
"POINT (144.9786557 -37.7722232)",EVERTY Charging Station,
"POINT (144.9697022 -37.81482680000001)",Tesla Destination Charger,
"POINT (144.9595931 -37.81588719999999)",Chargefox Charging Station,
"POINT (144.955756 -37.813111)",Tesla Destination Charger,
"POINT (144.9263865 -37.79700879999999)",Chargefox Charging Station,
"POINT (144.9474587 -37.8046035)",Exploren Charging Station,
