,Unnamed: 0,Name,Latitude,Longitude
117,117,Holiday Inn Express Melbourne Southbank,-37.821895,144.966652
118,118,Carlton,-37.80216073,144.9671638
119,119,Sundowner Rockbank Caravan Park,-37.730067,144.659873
120,120,Club Delaray,-38.110037,145.336394
121,121,Evie Charging Station,-36.37203068,143.6109526
122,122,Watergardens Shopping Centre,-37.699043,144.775876
123,123,Hume Villa Motor Inn,-37.696652,144.959707
124,124,Tesla Destination Charger,-36.67605388,144.245049
125,125,Rialto Car Park,-37.8191,144.957613
126,126,Evie Charging Station,-37.0506023,143.7418516
127,127,Harrow Street Car Park,-37.821964,145.124448
128,128,Docklands,-37.81209916,144.9392454
129,129,Common Ground Project,-38.259646,144.276227
130,130,QESH Ayr,-19.5740619,147.4056813
131,131,Moonee Ponds Supercharger,-37.76556152,144.9236774
132,132,Park Rises Residences,-37.797009,144.926387
133,133,Russell St,-37.81180407,144.9677026
134,134,Waverley Nissan,-37.906157,145.159718
135,135,hacyclon caravan park ,-38.317144,144.988947
136,136,Russell St,-37.81129305,144.967822
137,137,Tesla Destination Charger,-37.23502199,144.4229078
138,138,Monash University Caulfield Car Park,-37.876073,145.043688
139,139,Essendon Nissan,-37.720262,144.895849
140,140,Hungry Jack’s Sunbury,-37.580985,144.724278
141,141,CTR Whittlesea,-37.51043222,145.11856
142,142,Forest Hill Chase Shopping Centre,-37.835382,145.163537
143,143,Greenvale Woolworths,-37.616294,144.914873
144,144,Melbourne Convention Exhibition Centre,-37.82613,144.953107
145,145,AAkonsult,-37.818982,144.896722
146,146,Hyatt Place Caribbean Park (Coming Soon),-37.915767,145.216905
147,147,Camberwell Supercharger,-37.82867623,145.0564007
148,148,Evie Charging Station,-37.3558872,144.5282275
149,149,Stockland Point Cook,-37.884254,144.736465
150,150,Grow Energy,-37.955662,145.038605
151,151,Quest Burwood East,-37.853643,145.162436
152,152,Tesla Destination Charger,-36.74595006,145.5590773
153,153,Springvale Homemaker Centre,-37.927929,145.143552
154,154,Mercure Townsville,-19.2714721,146.7858734
155,155,Lorbek Luxury Cars,-37.832093,144.919335
156,156,Chadstone Shopping Centre Carpark A,-37.886337,145.07958
157,157,Hamilton,-27.44449167,153.0836111
158,158,Evie Charging Station,-37.17227961,144.4757619
159,159,Paint Spot Niddrie,-37.735219,144.887807
160,160,Edward St Parking Lot,-37.77360197,144.9618831
161,161,Stokehouse St Kilda,-37.86758,144.974352
162,162,Paronella Park,-17.6524637,145.9570688
163,163,Evie Charging Station,-36.53193077,143.8615516
164,164,Midlander Motor Inn,-23.5236365,148.1593512
165,165,The Fashion Capital - Tesla,-37.884862,145.082357
166,166,Westfield Doncaster,-37.78342,145.126058
167,167,Chargefox Charging Station,-37.46933398,143.8550343
168,168,Latrobe Street,-37.81241851,144.95362
169,169,Baptcare Strathalan,-37.728819,145.077998
170,170,Eltham Leisure Centre,-37.722925,145.142426
171,171,The Fashion Capital - Parking Block F,-37.887286,145.0824
172,172,South Melbourne,-37.83189437,144.9690271
173,173,South Melbourne Market Rooftop Parking,-37.83203,144.956791
174,174,Port Melbourne,-37.83163355,144.9194251
175,175,Stud Park Shopping Centre,-37.9214,145.237553
176,176,Monash University Clayton - Car Park N1,-37.90797166,145.1312195
177,177,Holmesglen Private Hospital,-37.93704,145.050288
178,178,McDonald’s Melton South,-37.72198498,144.5729271
179,179,BMW South Yarra,-37.849295,145.00279
180,180,Springfield,-27.68194444,152.8997222
181,181,Crown Metropol Melbourne,-37.825511,144.957692
182,182,EVolution HQ,-37.94260024,145.1197763
183,183,Mornington Supercharger,-38.23425677,145.0514638
184,184,Rockhampton,-23.38227211,150.5134619
185,185,Dan Murphy’s Armstrong Creek,-38.225361,144.337345
186,186,Flinders General Store rear car park,-38.473287,145.016892
187,187,Belgrave Heights Convention Centre,-37.923605,145.348486
188,188,Morris Moor (Coming Soon),-37.941172,145.061402
189,189,Good Guys,-38.148237,145.138689
190,190,Wilson Parking Eureka,-37.821726,144.965184
191,191,Cobblebank Stadium,-37.716016,144.599558
192,192,Myuna Farm,-37.985484,145.232704
193,193,EVolution HQ,-37.942988,145.11844
194,194,Eldridge Estate Winery,-38.372182,145.018678
195,195,Queens Road,-37.83477276,144.9737461
196,196,QESH - Cardwell,-18.2625592,146.0249012
197,197,Pullman Melbourne Albert Park,-37.849977,144.97831
198,198,Kinglake Library (rear of the Police Station),-37.531509,145.339577
199,199,Pullman Reef Hotel Casino,-16.923837,145.7796679
200,200,Southbank,-37.82123242,144.9673592
201,201,QESH - Innisfail,-17.5209629,146.0261103
202,202,Flinders St,-37.81621089,144.9709391
203,203,Diamond Valley Sports and Fitness Centre,-37.689194,145.110764
204,204,West Melbourne,-37.81010363,144.9510094
205,205,Wilson Parking,-37.814781,144.956451
206,206,De Bortoli Wines Dixons Creek,-37.596809,145.412205
207,207,Waverley Gardens Shopping Centre,-37.935556,145.189902
208,208,Southbank,-37.82076345,144.9663122
209,209,Port Melbourne,-37.83316274,144.9197754
210,210,Sorrento Community Centre,-38.33811816,144.7372775
211,211,Yarra Valley Nissan,-37.754859,145.363238
212,212,Cairns,-16.92045651,145.7788731
213,213,Mantra Epping,-37.649756,145.008102
214,214,Secure Parking - 460 Lonsdale Street Car Park,-37.813049,144.958347
215,215,Port Melbourne,-37.8297164,144.9311229
216,216,CB Smith Reserve,-37.70191464,144.9681533
