id,properties.amenity,properties.brand,properties.description,properties.opening_hours,properties.short_name,geometry.type,geometry.coordinates,properties.capacity,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location,socket_types
node/8660502116,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[145.3299069, -42.1522093]",,,,,,,
node/8660513071,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[148.4516049, -36.4459863]",,,,,,,
node/8660513415,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[147.1376477, -41.4399913]",,,,,,,
node/8660516388,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[148.6165569, -36.4146819]",,,,,,,
node/8660527323,charging_station,,Westfield Charging Station (J-1772),,,Point,"[149.0857708, -35.3457734]",,,,,,,
node/8660535812,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[148.3020342, -42.1348216]",,,,,,,
node/8660540033,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[147.1290413, -41.4403151]",,,,,,,
node/8660555162,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[148.30455, -36.5049077]",,,,,,,
node/8678497906,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[146.3673186, -41.1800018]",,,,,,,
node/8687625054,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[143.5929776, -38.3413505]",,,,,,,
node/8690279176,charging_station,Charging the Regions,,,,Point,"[144.7479998, -36.1271422]",,,,,,,
node/8692040373,charging_station,Tesla Supercharger,,,Tesla,Point,"[150.8322409, -32.4474435]",6,,,,,,
node/8692040374,charging_station,,,,,Point,"[151.6821565, -30.555484]",7.4,,,,,,
node/8709283408,charging_station,"Tesla, Inc.",,,Tesla,Point,"[151.6728399, -30.5062581]",2,,,,,,2
node/8711272569,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[144.3824797, -38.0651667]",,,,,,,
node/8714190581,charging_station,,Porsche Destination Charger,,,Point,"[151.6482486, -33.1048978]",,,,,,,
node/8714688412,charging_station,Charging the Regions,,,,Point,"[144.2207964, -35.807933]",,,,,,,
node/8770992013,charging_station,,Evie Networks Taylors Lakes,,,Point,"[144.7821513, -37.6965635]",,,,,,,2
node/8778736867,charging_station,,,,,Point,"[144.3453057, -38.1293011]",2,,,,,,
node/8797027976,charging_station,,Herberton Historic Village,,,Point,"[145.3844854, -17.3736451]",2,,,,,,
node/8817023359,charging_station,,,,,Point,"[153.3104507, -27.8553474]",,,,,,,
node/8819321066,charging_station,,,,,Point,"[138.6437536, -34.937999]",1,,,,,,1
node/8822845273,charging_station,"Tesla, Inc.",Bremerton Wines Tesla Destination Charger,,Tesla,Point,"[139.0244883, -35.2941487]",2,,,,,,2
node/8848048175,charging_station,Charging the Regions,,,,Point,"[143.9001993, -36.7405105]",,,,,,,
node/8849746220,charging_station,,,,,Point,"[149.1354639, -35.1841062]",2,,,,,,
node/8858740996,charging_station,,Chargefox Charging Station,,,Point,"[145.1907152, -37.9365224]",22,,,,,,
node/8858753812,charging_station,,,,,Point,"[145.1800698, -37.9528827]",,,,,,,
node/8864968843,charging_station,,Evie Networks Westbury,,,Point,"[146.8452421, -41.525806]",,,,,,,1
node/8896794603,charging_station,,,,,Point,"[147.1419909, -41.4501546]",,,,,,,1
node/8911115310,charging_station,,,,,Point,"[151.2130127, -33.9069877]",,,,,,,
node/8943191752,charging_station,,Bayside Council,,,Point,"[145.017674, -37.9593639]",,,,,,,
node/8962371069,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[144.8209256, -38.3709259]",2,,,,,,
node/8994778322,charging_station,,,,,Point,"[153.149169, -29.5611899]",,,,,,,
node/9000002017,charging_station,,,,,Point,"[116.4755665, -32.8021172]",,,,,,,
node/9021517768,charging_station,Tesla Supercharger,Williams Supercharger,,Tesla,Point,"[116.8788933, -33.0246993]",3,,,,,,
node/9026039108,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[146.2590159, -38.172938]",,,,,,,
node/9058271716,charging_station,Charging the Regions,CTR Wycheproof,,,Point,"[143.2267286, -36.0790387]",2,,,,,,1
node/9058276006,charging_station,Charging the Regions,CTR Kyneton,24/7,,Point,"[144.4524935, -37.2470045]",2,,,,,,1
node/9058291617,charging_station,Charging the Regions,CTR Castlemaine,,,Point,"[144.217816, -37.0667926]",,,,,,,
node/9069283087,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[148.4516402, -36.4460208]",,,,,,,
node/9069321520,charging_station,"Tesla, Inc.",Tesla Destination,,Tesla,Point,"[148.3045413, -36.5049165]",,,,,,,
node/9072184481,charging_station,Charging the Regions,CTR Ouyen,,,Point,"[142.3156162, -35.0710089]",,,,,,,1
node/9072216068,charging_station,Charging the Regions,CTR Sea Lake,,,Point,"[142.8516829, -35.5040579]",,,,,,,1
node/9072216233,charging_station,,,,,Point,"[152.8219332, -27.5881184]",2,,,,,,
node/9092859485,charging_station,Charging the Regions,CTR Robinvale,,,Point,"[142.7746538, -34.5848436]",,,,,,,1
node/9092865942,charging_station,Charging the Regions,CTR Swan Hill,,,Point,"[143.5617026, -35.3409423]",2,,,,,,1
node/9097290660,charging_station,,Collie Central Park Car Park,,,Point,"[116.15296, -33.3587851]",,,,,,,
node/9121818285,charging_station,"Tesla, Inc.",Tesla Destination Charger - Unit 2 Coast Resort,,Tesla,Point,"[149.9120037, -36.8951652]",,,,,NSW,,
node/9121831091,charging_station,"Tesla, Inc.",Tesla Destination Charger,,Tesla,Point,"[148.4515931, -36.4459986]",,,,,,,
node/9139174626,charging_station,,,,,Point,"[141.9878017, -36.1423702]",,,,,,,
node/9139223343,charging_station,,,,,Point,"[142.0260508, -36.4546128]",,,,,,,1
node/9150530738,charging_station,Charging the Regions,CTR Woodend,,,Point,"[144.528833, -37.3558374]",2,,,,,,
node/9150544914,charging_station,Charging the Regions,CTR Shepparton,,,Point,"[145.4003239, -36.3803048]",,,,,,,1
node/9150566549,charging_station,Charging the Regions,CTR Wedderburn,,,Point,"[143.6138978, -36.4179502]",,,,,,,2
node/9184935771,charging_station,,,,,Point,"[150.5116862, -23.2884084]",,,,,,,
node/9204398603,charging_station,,"Bungan Street, Mona Vale, 1 hour",24/7,,Point,"[151.3031101, -33.6761456]",1,,,,,,1
node/9215252226,charging_station,,,,,Point,"[150.9199428, -33.8988886]",,,,,,,2
node/9217134714,charging_station,Tesla Supercharger,Tesla Supercharger,,Tesla,Point,"[145.05112, -38.2344038]",,,,,,,
node/9222837083,charging_station,,IKEA EV chargers,,,Point,"[145.1435899, -37.9271751]",4,,,,,,4
