type,id,properties.@id,properties.amenity,properties.area,properties.brand,properties.brand:wikidata,properties.description,properties.opening_hours,properties.short_name,properties.socket:tesla_supercharger,properties.website,geometry.type,geometry.coordinates,properties.capacity,properties.name,properties.operator,properties.operator:wikidata,properties.access,properties.fee,properties.bicycle,properties.motor_vehicle,properties.socket:type2,properties.socket:type2:output,properties.source,properties.addr:housenumber,properties.addr:street,properties.addr:suburb,properties.socket:type1_combo:output,properties.brand:wikipedia,properties.operator:wikipedia,properties.socket:type1,properties.socket:tesla,properties.socket:tesla_supercharger:output,properties.socket:tesla_supercharger_ccs,properties.socket:tesla_supercharger_ccs:output,properties.addr:city,properties.addr:country,properties.addr:postcode,properties.addr:state,properties.location,properties.addr:unit,properties.authentication:app,properties.authentication:nfc,properties.socket:chademo,properties.socket:chademo:output,properties.socket:type2_combo,properties.socket:type2_combo:output,properties.motorcar,properties.note,properties.parking:fee,properties.ref:ocm,properties.socket:type1:output,properties.scooter,properties.access:note,properties.alt_name,properties.authentication:none,properties.output,properties.charging_station:output,properties.charge,properties.network,properties.temporary:access,properties.covered,properties.level,properties.source:operator,properties.payment:app,properties.fixme,properties.ref,properties.socket:tesla_destination,properties.socket:tesla_standard,properties.socket:tesla_standard:output,properties.authentication:membership_card,properties.maxstay,properties.socket:tesla_destination:output,properties.payment,properties.voltage,properties.payment:credit_cards,properties.manufacturer,properties.operator:website,properties.socket:type2_cable,properties.no:network,properties.payment:contactless,properties.socket:type1_combo,properties.bus,properties.hgv,properties.payment:none,properties.motorcycle,properties.amperage,properties.payment:free,properties.not:brand:wikidata,properties.phone:AU,properties.addr:floor,properties.addr:housename,properties.office,properties.phone,properties.start_date,properties.wikidata,properties.survey:date,properties.payment:via_tesla_app,properties.socket:type2:power,properties.socket:j1772,properties.socket:type2:current,properties.socket:type2:voltage,properties.payment:tap_to_pay,properties.socket:type2_cable:current,properties.socket:type2_cable:output,properties.socket:type2_cable:voltage,properties.parking,properties.payment:via_app,properties.socket:wall,properties.url,properties.network:wikidata,properties.socket,properties.indoor,properties.branch,properties.payment:cash,properties.payment:coins,properties.payment:mastercard,properties.payment:visa,properties.check_date,properties.construction,properties.payment:debit_cards,properties.ele,properties.payment:cards,properties.payment:membership_card,properties.payment:qr_code,properties.not:operator:wikidata,properties.socket:unknown,properties.payment:apple_pay,properties.man_made,properties.socket:ccs:output
Feature,way/762728901,way/762728901,charging_station,yes,"Tesla, Inc.",Q478214,Hollydene Supercharger,24/7,Tesla,6,https://www.tesla.com/en_AU/findus/location/supercharger/singletonnswsupercharger,Polygon,"[[[150.8323303, -32.4473776], [150.8322847, -32.4473524], [150.8321618, -32.4475109], [150.8322075, -32.4475361], [150.8323303, -32.4473776]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1176146545,way/1176146545,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,,,Polygon,"[[[139.5011723, -35.3040185], [139.5012011, -35.3040544], [139.5012277, -35.3040401], [139.5012529, -35.3040264], [139.5012757, -35.3040137], [139.501299, -35.304001], [139.5013229, -35.3039874], [139.5013471, -35.3039736], [139.5013176, -35.3039393], [139.5012935, -35.3039531], [139.5012707, -35.3039659], [139.5012467, -35.3039787], [139.5012244, -35.3039909], [139.501199, -35.3040043], [139.5011723, -35.3040185]]]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1189771948,way/1189771948,charging_station,,,,,,,,,Polygon,"[[[138.5748466, -35.0081462], [138.5748542, -35.0081967], [138.5750899, -35.0081669], [138.5750818, -35.0081176], [138.5748466, -35.0081462]]]",,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1253852373,way/1253852373,charging_station,,Tesla Destination,,,24/7,,,,Polygon,"[[[130.877993, -12.4074783], [130.8779695, -12.4075449], [130.8780173, -12.4075609], [130.8780407, -12.4074944], [130.877993, -12.4074783]]]",3,,Darwin Airport,,,yes,no,yes,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1258973419,way/1258973419,charging_station,,EVlink,,,,,,,Polygon,"[[[144.9937152, -37.8037876], [144.9937602, -37.8035113], [144.9937013, -37.8035051], [144.9936529, -37.803781], [144.9937152, -37.8037876]]]",,,,,unknown,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,way/1278067243,way/1278067243,charging_station,,Tesla,,,24/7,,9,,Polygon,"[[[153.0137566, -27.2394365], [153.0137045, -27.2394189], [153.0135673, -27.2397415], [153.0136194, -27.239759], [153.0137566, -27.2394365]]]",9,Tesla Supercharger,HomeCo North Lakes,,yes,,,,,,,95,North Lakes Drive,North Lakes,25 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/1638722815,node/1638722815,charging_station,,,,,24/7,,,,Point,"[115.8715309, -31.9362523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3203111051,node/3203111051,charging_station,,ChargePoint,Q5176149,,,,,,Point,"[115.8348552, -32.0346555]",,ChargePoint,ChargePoint,Q5176149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3488644749,node/3488644749,charging_station,,ChargePoint,Q5176149,,,,,,Point,"[151.6438477, -32.9358797]",,,ChargePoint,Q5176149,,,,,,,,,,,,en:ChargePoint,en:ChargePoint,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/3946796253,node/3946796253,charging_station,,,,,,,,,Point,"[146.4125226, -41.218297]",2,,,,customers,no,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4016257448,node/4016257448,charging_station,,Tesla Supercharger,Q17089620,Goulburn Supercharger,24/7,Tesla,8,,Point,"[149.7209942, -34.7554799]",8,Tesla Supercharger,"Tesla, Inc.",Q478214,,yes,,,,,,201,Sloane Street,,,en:Tesla Supercharger,,,,120 kW,8,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4027662399,node/4027662399,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,24/7,Tesla,6,,Point,"[145.5734088, -36.7527958]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,https://www.teslamotors.com/en_AU,,,,,en:Tesla Supercharger,"en:Tesla, Inc.",,,120 kW,,,Euroa,AU,3666,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4027663540,node/4027663540,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,24/7,Tesla,6,,Point,"[146.8900517, -36.1237775]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,https://www.teslamotors.com/en_AU,5-13,Havelock Street,,,en:Tesla Supercharger,,,,,,,Wodonga,AU,3690,VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4027667916,node/4027667916,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,6,,Point,"[148.1098598, -35.0021004]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,yes,,,,,https://www.teslamotors.com/en_AU,,,,,en:Tesla Supercharger,"en:Tesla, Inc.",,,120 kW,6,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4332286415,node/4332286415,charging_station,,"Tesla, Inc.",Q478214,Tesla Chadstone,,Tesla,4,,Point,"[145.0824905, -37.8872284]",4,,,,,,,,,,,1341,Dandenong Road,,,,,,,,,,Chadstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4332296675,node/4332296675,charging_station,,,,,,,,,Point,"[145.2116252, -38.0270897]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4332305132,node/4332305132,charging_station,,,,,,,,,Point,"[143.8664155, -37.5753648]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4332324003,node/4332324003,charging_station,,,,,,,,,Point,"[144.9719796, -37.8042881]",2,,Museums Victoria,,,,,,,,,,,,,,,,,,,,,,,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4356704673,node/4356704673,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,4,https://www.teslamotors.com/en_AU/findus/location/service/melbourne,Point,"[144.9957089, -37.8321721]",4,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,650,Church Street,,,"en:Tesla, Inc.","en:Tesla, Inc.",,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4559150341,node/4559150341,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,6,,Point,"[143.8226401, -37.5346311]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4681433874,node/4681433874,charging_station,,,,,,,,,Point,"[138.7249462, -34.923656]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4776101051,node/4776101051,charging_station,,,,,,,,,Point,"[145.133609, -37.9054453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4776121605,node/4776121605,charging_station,,,,Free Moreland Council Car Charging Point,,,,,Point,"[144.9701016, -37.7412518]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4776130324,node/4776130324,charging_station,,,,,,,,,Point,"[145.5029836, -37.6507196]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4861233240,node/4861233240,charging_station,,Yurika,,QESH - Gatton,,,,,Point,"[152.3351514, -27.5512615]",2,,Yurika,Q106234391,,,,,2,22,,,,,,,,,,,,,,,,,,,yes,yes,1,50,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/4896269173,node/4896269173,charging_station,,ChargePoint,Q5176149,ChargePoint,,,,,Point,"[145.0534948, -37.9584508]",,ChargePoint,ChargePoint,Q5176149,,,,,,,,,,,,en:ChargePoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5004854821,node/5004854821,charging_station,,Tesla Supercharger,Q17089620,Coffs Harbour Supercharger,24/7,Tesla,6,,Point,"[153.1315933, -30.2814283]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,yes,,,,,,,,,,en:Tesla Supercharger,"en:Tesla, Inc.",,,120 kW,6,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5047210796,node/5047210796,charging_station,,,,,,,,,Point,"[151.3749048, -33.5212508]",,,Tesla Motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5047211383,node/5047211383,charging_station,,ChargePoint,Q5176149,,,,,,Point,"[150.8812521, -34.4075897]",,,ChargePoint,Q5176149,,no,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5132854542,node/5132854542,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,4,,Point,"[140.3557562, -36.0990659]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5162910541,node/5162910541,charging_station,,Tesla Supercharger,Q17089620,Clare Valley Supercharger,,Tesla,,,Point,"[138.6181952, -33.8485098]",4,,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,120 kW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5249804024,node/5249804024,charging_station,,,,,,,,,Point,"[138.3188648, -35.4470219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5270964444,node/5270964444,charging_station,,,,,,,,,Point,"[153.615842, -28.643176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5334248429,node/5334248429,charging_station,,,,,,,,,Point,"[133.2007563, -25.197523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5334248433,node/5334248433,charging_station,,,,,,,,,Point,"[133.6228479, -27.304117]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5334248922,node/5334248922,charging_station,,,,,,,,,Point,"[141.2756294, -37.921672]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5395408885,node/5395408885,charging_station,,,,Free Moreland Council EV charging,,,,,Point,"[144.9695097, -37.7025331]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5438383393,node/5438383393,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,8,,Point,"[151.1946269, -33.8829291]",8,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5519599141,node/5519599141,charging_station,,,,,24/7,,,,Point,"[146.3248524, -41.382797]",2,,Sheffield Visitor Information Centre,,,yes,,,2,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://www.facebook.com/photo?fbid=164585209891497&set=a.164595253223826,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5519606421,node/5519606421,charging_station,,,,,Mo-Fr 07:45-18:30; Sa-Su off,,,,Point,"[147.324301, -42.8812739]",2,,Hobart City Council,,,no,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,yes,OCM-125734,7 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5553840397,node/5553840397,charging_station,,,,Free Moreland Council Car Charging Point,Mo-Su 09:00-09:00,,,,Point,"[144.9697797, -37.7407364]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5758577851,node/5758577851,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,4,,Point,"[150.1284524, -36.2231879]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5865178390,node/5865178390,charging_station,,,,,,,,,Point,"[151.2063604, -33.8682863]",,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5879749471,node/5879749471,charging_station,,,,,,,,https://merri-bek.vic.gov.au/exploring-merri-bek/transport/Driving-In-merri-bek/,Point,"[144.9619656, -37.7714237]",,,Merri-bek City Council,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/5985113586,node/5985113586,charging_station,,Tesla Supercharger,Q17089620,Canberra Supercharger,24/7,Tesla,6,,Point,"[149.1902551, -35.2942578]",6,Tesla Supercharger,"Tesla, Inc.",Q478214,,yes,,,,,,,,,,"en:Tesla, Inc.","en:Tesla, Inc.",,,120 kW,6,120 kW,,,,,,,,,,,,,,,,,,,Restricted to Tesla only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6012351152,node/6012351152,charging_station,,,,Chargefox,24/7,,,,Point,"[145.5909893, -36.743036]",4,RACV,Chargefox,Q105775824,,,,,,,,,,,,,,,,,,,Euroa,AU,3666,VIC,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6110132412,node/6110132412,charging_station,,,,,,,,,Point,"[137.7714998, -35.7874472]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6165583448,node/6165583448,charging_station,,,,NRMA Fast Charger,,,,https://www.mynrma.com.au/community/initiatives/electric-vehicle-fast-charging-network,Point,"[150.4424531, -34.4500909]",1,,NRMA,Q6955173,,no,,,,,,NSW,Bessemer Street,Mittagong,,,,,,,,,,AU,2575,,,,,,1,50 kW,1,50 kW,,,,,,,,NRMA Fast Charger,yes,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6165583449,node/6165583449,charging_station,,ChargePoint,Q5176149,Mittagong Tourist Information Centre,,,,,Point,"[150.4519627, -34.4501399]",1,,ChargePoint,Q5176149,,,,,,,,,Main Street,Mittagong,,,,,,,,,,AU,2575,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6217636780,node/6217636780,charging_station,,,,Chargefox,,,,,Point,"[146.7267687, -36.0739678]",8,,Chargefox,Q105775824,yes,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6294718962,node/6294718962,charging_station,,,,J-1772,,,,,Point,"[143.8905143, -37.4438844]",2,,RACV,,,no,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6305536144,node/6305536144,charging_station,,"Tesla, Inc.",Q478214,Tesla Mascot King Street,,Tesla,,,Point,"[151.186122, -33.9285142]",,,,,,,,,,,,338,King Street,Mascot,,,,,,,,,,,2020,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6361470537,node/6361470537,charging_station,,,,,,,,,Point,"[150.8118548, -33.9760165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6361470538,node/6361470538,charging_station,,,,,,,,,Point,"[150.8118557, -33.9760436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6434871034,node/6434871034,charging_station,,"Tesla, Inc.",Q478214,Goolwa Visitor Information Centre - Destination Charging,,Tesla,,,Point,"[138.7844823, -35.5030219]",1,Tesla Destination Charger,Tesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6456676767,node/6456676767,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,4,,Point,"[146.7592991, -36.5870197]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6456722833,node/6456722833,charging_station,,Tesla Supercharger,Q17089620,Tesla Supercharger,,Tesla,4,,Point,"[148.6091712, -32.2499278]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,"en:Tesla, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6456723747,node/6456723747,charging_station,,Tesla Supercharger,Q17089620,,,Tesla,4,,Point,"[150.9171653, -31.1016073]",,Tesla Supercharger,"Tesla, Inc.",Q478214,,,,,,,,,,,,en:Tesla Supercharger,,,,120 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6456731585,node/6456731585,charging_station,,ChargePoint,Q5176149,Chargepoint,,,,,Point,"[145.080672, -37.9505279]",,ChargePoint,ChargePoint,Q5176149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,node/6456735006,node/6456735006,charging_station,,ChargePoint,Q5176149,,,,,,Point,"[145.1577067, -37.9214395]",,,ChargePoint,Q5176149,,,,,,,,,,,,en:ChargePoint,en:ChargePoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
