amenity,operator,geometry,capacity,addr:city,addr:housenumber,addr:street,location,brand,socket_type
charging_station,,POINT (150.8118557 -33.9760436),5.288250652741515,,,,,,Unknown
charging_station,Tesla,POINT (138.7844823 -35.5030219),1.0,,,,,"Tesla, Inc.",Unknown
charging_station,"Tesla, Inc.",POINT (146.7592991 -36.5870197),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (148.6091712 -32.2499278),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (150.9171653 -31.1016073),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,ChargePoint,POINT (145.080672 -37.9505279),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,ChargePoint,POINT (145.1577067 -37.9214395),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,ChargePoint,POINT (145.165502 -37.8748303),5.288250652741515,,,,,ChargePoint,Unknown
charging_station,"Tesla, Inc.",POINT (153.0404982 -27.4517194),4.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (153.4271031 -28.0353737),8.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (153.5347035 -28.7495635),6.0,,,,,"Tesla, Inc.",Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (152.8236754 -31.4361396),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (144.3612324 -38.1433232),4.0,,,,,,Unknown
charging_station,NRMA,POINT (148.6197273 -36.4160168),2.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (147.2036752 -33.9237229),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (148.2950671 -34.3117299),1.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (148.1726877 -33.1375197),5.288250652741515,,,,,,Unknown
charging_station,RAC,POINT (115.8244911 -33.5747389),3.0,,,,,,Unknown
charging_station,NRMA,POINT (149.5867462 -33.4191414),1.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (150.7008205 -34.775569),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (152.3814131 -32.0990505),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (147.1395575 -41.4358155),5.288250652741515,,,,,,Type 2
charging_station,,POINT (147.1888612 -42.5132365),5.288250652741515,,,,,,Unknown
charging_station,Meander Valley Council,POINT (146.830594 -41.5279633),1.0,,,,,,Type 2
charging_station,NRMA,POINT (150.1752344 -35.7084845),1.0,,,,,,Type 2 Combo
charging_station,"Tesla, Inc.",POINT (151.420595 -33.3101932),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (150.6367014 -34.8082768),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (144.9211921 -37.7235909),5.288250652741515,,,,,,Unknown
charging_station,Darebin City Council,POINT (145.0050847 -37.7401175),1.0,,,,,,Unknown
charging_station,RACV,POINT (144.9597412 -37.8160073),4.0,,,,,,Unknown
charging_station,Alto Hotel,POINT (144.9547665 -37.8163799),1.0,,,,,,Unknown
charging_station,,POINT (144.9559119 -37.8132556),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9618065 -37.8143461),2.0,,,,,,Unknown
charging_station,,POINT (144.9639555 -37.81826),2.0,,,,,,Unknown
charging_station,GreenCo,POINT (144.9707936 -37.8162175),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9700374 -37.8153856),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9730784 -37.8144864),5.288250652741515,,,,,,Unknown
charging_station,Secure Parking,POINT (144.9695662 -37.8125596),2.0,,,,,,Unknown
charging_station,QT,POINT (144.9681379 -37.813368),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (144.3113609 -38.3401694),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (144.8855401 -37.713734),5.288250652741515,,,,,Chargefox,Type 2 Combo
charging_station,NRMA,POINT (151.0698417 -33.8460153),2.0,,,,,,Type 2 Combo
charging_station,,POINT (145.6858267 -38.6490505),5.288250652741515,,,,,,Unknown
charging_station,,POINT (145.1184356 -37.9430275),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (151.7362504 -29.7384627),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (150.1611444 -33.4780477),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (152.9335121 -29.6881629),1.0,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (145.279579 -38.0870252),2.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (153.553519 -28.636313),2.0,,,,,,Type 2 Combo
charging_station,,POINT (144.830228 -37.86395),5.288250652741515,,,,,,Type 2 Combo
charging_station,NRMA,POINT (149.8431789 -36.6731502),2.0,,,,,,Type 2 Combo
charging_station,,POINT (144.9426093 -37.8188089),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (147.317755 -35.7175328),2.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (148.3253727 -34.8234623),1.0,,,,,,Type 2 Combo
charging_station,JET Charge,POINT (151.1833566 -33.7965055),2.0,,,,,EVLink,Unknown
charging_station,,POINT (146.8959075 -36.0283814),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (148.609354 -32.2493739),5.288250652741515,,,,,,Unknown
charging_station,Yurika,POINT (152.6988509 -25.5399733),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (153.5149307 -28.1640661),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (148.1104046 -35.0021569),1.0,,,,,Chargefox,Type 2 Combo
charging_station,Yurika,POINT (152.8997448 -27.6821816),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (153.0839368 -27.4443325),4.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (152.278546 -25.235255),2.0,,,,,Yurika,Type 2
charging_station,Yurika,POINT (152.9114294 -26.4170901),2.0,,,,,Yurika,Type 2
charging_station,"Tesla, Inc.",POINT (153.0874707 -26.6537911),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (144.9692983 -37.8098361),1.0,,,,,,Unknown
charging_station,Secure Parking,POINT (144.970523 -37.8101221),5.288250652741515,,,,,,Unknown
charging_station,Arrow on Swanston,POINT (144.9633222 -37.8055148),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9669687 -37.8022448),5.288250652741515,,,,,,Unknown
charging_station,Melbourne Museum,POINT (144.9733535 -37.8044709),2.0,,,,,,Unknown
charging_station,Jet Charge,POINT (144.9427005 -37.8014314),1.0,,,,,,Unknown
charging_station,The Green Guys,POINT (144.9428225 -37.801086),5.288250652741515,,,,,,Unknown
charging_station,The District Docklands,POINT (144.939222 -37.812617),1.0,,,,,,Unknown
charging_station,The District Docklands,POINT (144.9370084 -37.8129804),5.288250652741515,,,,,,Unknown
charging_station,Flagstaff City Inn,POINT (144.9509974 -37.8100036),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9607646 -37.8319526),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9692208 -37.8322063),5.288250652741515,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (144.3064633 -36.7745651),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,"Tesla, Inc.",POINT (151.7276848 -32.7878111),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Chargefox Pty Ltd,POINT (153.112883 -27.5779109),2.0,,,,,Chargefox,Type 2
charging_station,,POINT (152.0308228 -28.2168672),5.288250652741515,,,,,,Unknown
charging_station,,POINT (145.1705033 -38.2998125),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (150.2519137 -30.9786335),5.288250652741515,,,,,,Unknown
charging_station,Geelong Regional Libraries,POINT (144.5220013 -38.2661166),5.288250652741515,,,,,,Unknown
charging_station,Electric Highway Tasmania,POINT (145.5266163 -41.4429335),2.0,,,,,,Type 2
charging_station,Chargefox,POINT (153.5617941 -28.857635),5.288250652741515,,,,,Chargefox,Unknown
charging_station,Chargefox,POINT (146.2375699 -38.184512),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (150.8633339 -34.436581),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (144.8426785 -34.5091627),5.288250652741515,,,,,NRMA,Type 2 Combo
charging_station,NRMA,POINT (142.162711 -34.18882),5.288250652741515,,,,,NRMA,Type 2 Combo
charging_station,,POINT (153.563108 -28.870871),5.288250652741515,,,,,"Tesla, Inc.",Unknown
charging_station,Chargefox,POINT (151.7720103 -32.9291638),22.0,,,,,,Unknown
charging_station,Chargefox,POINT (151.7607437 -32.9302558),50.0,,,,,,Unknown
charging_station,Chargefox,POINT (151.7607424 -32.9302851),22.0,,,,,,Unknown
charging_station,Chargefox,POINT (151.760741 -32.9303144),22.0,,,,,,Unknown
charging_station,Chargefox,POINT (151.1778386 -33.8763052),22.0,,,,,,Unknown
charging_station,Chargepoint,POINT (151.6906686 -32.9028042),7.0,,,,,,Unknown
charging_station,NRMA,POINT (151.6697747 -32.9026832),50.0,,,,,,Unknown
charging_station,NRMA,POINT (151.6698001 -32.9026703),50.0,,,,,,Unknown
charging_station,Chargefox,POINT (151.2391178 -33.9138057),22.0,,,,,,Unknown
charging_station,Chargefox,POINT (151.2129122 -33.9053712),5.288250652741515,,,,,Chargefox,Unknown
charging_station,"Tesla, Inc.",POINT (144.9222192 -37.7644055),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Evie Networks,POINT (152.9964595 -26.9182695),5.288250652741515,,,,,Evie Networks,Unknown
charging_station,Tesla,POINT (119.3819872 -34.3984322),2.0,,,,,,Unknown
charging_station,,POINT (153.0167803 -27.4954744),2.0,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (149.1267896 -36.2355277),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Chargefox,POINT (149.1336412 -36.2188825),350.0,,,,,,Unknown
charging_station,RAC,POINT (115.3418932 -33.645879),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (149.7496197 -34.7479333),3.0,,,,,Chargefox,Type 2 Combo
charging_station,Chargefox,POINT (147.1586843 -41.4681651),2.0,,,,,,Type 2 Combo
charging_station,"Tesla, Inc.",POINT (151.9467399 -27.5780873),4.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Chargefox,POINT (151.9625258 -32.6539082),3.0,,,,,,Type 2 Combo
charging_station,Dorset Council,POINT (147.5146104 -41.1621624),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (144.1423321 -37.3426377),2.0,,,,,,Unknown
charging_station,,POINT (142.9339235 -37.2833721),5.288250652741515,,,,,"Tesla, Inc.",Unknown
charging_station,Evie Networks,POINT (147.4945273 -41.9293446),2.0,,,,,Evie Networks,Type 2 Combo
charging_station,,POINT (153.0412292 -27.4921779),1.0,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (153.2391675 -29.427045),4.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,,POINT (134.7543104 -29.0106618),1.0,,,,,"Tesla, Inc.",Unknown
charging_station,Chargefox,POINT (144.9614795 -37.7189925),1.0,,,,,,Type 2 Combo
charging_station,"Tesla, Inc.",POINT (138.5952395 -34.9276045),4.0,,,,,Tesla Supercharger,Unknown
charging_station,Chargefox,POINT (138.6048811 -34.9244),2.0,,,,,Chargefox,Type 2
charging_station,,POINT (147.3370559 -42.8807344),3.0,,,,,"Tesla, Inc.",Type 2
charging_station,Chargefox,POINT (150.8452155 -33.7708416),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (146.9148011 -36.0837898),5.288250652741515,,,,,,Type 2 Combo
charging_station,Chargefox,POINT (140.3615633 -36.1050786),5.288250652741515,,,,,,Type 2 Combo
charging_station,"Tesla, Inc.",POINT (151.1207792 -33.7781529),5.288250652741515,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Chargefox,POINT (143.8623024 -37.5613256),5.288250652741515,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (150.1774602 -35.7098969),1.0,,,,,,Type 2 Combo
charging_station,"Tesla, Inc.",POINT (152.6612476 -26.1881513),4.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,NRMA,POINT (151.2946203 -32.7742468),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (149.2791803 -31.2787465),5.288250652741515,,,,,,Unknown
charging_station,,POINT (151.2464722 -33.9306373),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9244765 -37.8244076),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9244672 -37.8243839),5.288250652741515,,,,,,Unknown
charging_station,,POINT (144.9244629 -37.8243625),5.288250652741515,,,,,,Unknown
charging_station,,POINT (152.5199677 -32.1997712),5.288250652741515,,,,,,Unknown
charging_station,Evie Networks,POINT (147.7361254 -35.2771687),2.0,,,,,,Type 2 Combo
charging_station,,POINT (144.9789845 -37.7719979),2.0,,,,,,Unknown
charging_station,NRMA,POINT (150.610947 -34.1683025),1.0,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (145.2398046 -36.9074894),2.0,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (152.4706099 -31.9433485),2.0,,,,,,Type 2 Combo
charging_station,,POINT (147.0611487 -42.7791986),5.288250652741515,,,,,,Unknown
charging_station,Evie Networks,POINT (146.8284661 -19.3194992),2.0,,,,,Evie Networks,Type 2 Combo
charging_station,NRMA,POINT (143.5644882 -34.6396148),5.288250652741515,,,,,,Type 2 Combo
charging_station,,POINT (152.9036312 -27.6766678),4.0,,,,,,Unknown
charging_station,Chargefox,POINT (139.2770491 -35.1205066),2.0,,,,,,Type 2 Combo
charging_station,Electric Highway Tasmania,POINT (146.2290933 -42.1356399),1.0,,,,,,Type 2
charging_station,Electric Highway Tasmania,POINT (145.5554413 -42.0788206),1.0,,,Driffield Street,,Electric Highway Tasmania,Type 2
charging_station,NRMA,POINT (148.9124032 -34.8412265),2.0,,,,,,CHAdeMO
charging_station,,POINT (145.1400183 -37.9208333),5.288250652741515,,,,,,Type 2
charging_station,EO,POINT (149.5813787 -33.4257824),2.0,,,,,,Unknown
charging_station,,POINT (149.190361 -35.2998964),1.0,,,,,,Type 2
charging_station,Evie Networks,POINT (149.1283604 -35.279627),1.0,,,,,,Type 2 Combo
charging_station,,POINT (149.1354521 -35.2801903),4.0,,,,,,Type 2
charging_station,NRMA,POINT (152.8274176 -31.4581377),2.0,,,,,NRMA,Type 2 Combo
charging_station,Chargefox,POINT (149.165535 -35.3224367),1.0,,,,,,Type 2 Combo
charging_station,,POINT (151.2762714 -33.8908025),5.288250652741515,,,,,,Unknown
charging_station,Meander Valley Council,POINT (146.6510431 -41.5236168),1.0,,,,,,Type 2
charging_station,City of Hobart,POINT (147.3322907 -42.8814091),1.0,,,,,,Type 2 Combo
charging_station,Mt Field Visitor Centre,POINT (146.7164989 -42.6817118),1.0,,,,,,Type 2
charging_station,Huon Valley Council,POINT (147.0474304 -43.0312044),1.0,,,,,,Type 2
charging_station,NRMA,POINT (147.3735986 -35.1083685),2.0,,,,,,Type 2 Combo
charging_station,,POINT (118.4624195 -33.1006924),5.288250652741515,,,,,,Unknown
charging_station,Huon Valley Council,POINT (146.9268457 -43.163457),1.0,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (153.0500396 -26.6628606),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (150.8663635 -32.0506093),5.288250652741515,,,,,,Unknown
charging_station,Evie Networks,POINT (139.4404743 -35.2401819),5.288250652741515,,,,,,Type 2 Combo
charging_station,,POINT (143.9742629 -38.5366421),1.0,,,,,,Unknown
charging_station,TasPorts,POINT (147.3333345 -42.8818357),1.0,,,,,,Type 2
charging_station,TasPorts,POINT (147.3354788 -42.8816834),1.0,,,,,,Type 2
charging_station,Evie Networks,POINT (153.077346 -27.4157668),4.0,,,,,,Unknown
charging_station,Chargefox,POINT (142.201977 -36.7111262),8.0,,,,,,Type 2 Combo
charging_station,Electric Highway Tasmania,POINT (145.90733 -41.0498769),1.0,,,,,Electric Highway Tasmania,Type 2
charging_station,Chargefox,POINT (115.7417543 -33.2831945),2.0,,,,,,Unknown
charging_station,Yurika,POINT (150.5132751 -23.3821063),2.0,,,,,Yurika,Type 2
charging_station,,POINT (150.5222122 -23.3558309),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (151.6696956 -30.5119326),1.0,,,,,,Unknown
charging_station,,POINT (150.7352534 -33.7693688),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (149.586206 -32.593669),5.288250652741515,,,,,,Unknown
charging_station,Electric Highway Tasmania,POINT (146.3593825 -41.1776609),2.0,,,,,Electric Highway Tasmania,Type 2
charging_station,Evie Networks,POINT (150.9548236 -33.7671436),350.0,,,,,,Type 2 Combo
charging_station,,POINT (115.7649217 -33.9791934),5.288250652741515,,,,,,Unknown
charging_station,,POINT (149.0994869 -33.280911),5.288250652741515,,,,,"Tesla, Inc.",Unknown
charging_station,,POINT (149.0432132 -33.3333919),5.288250652741515,,,,,"Tesla, Inc.",Unknown
charging_station,Evie Networks,POINT (145.0730497 -37.6784969),5.288250652741515,,,,,,Unknown
charging_station,NRMA,POINT (152.0189641 -29.0572225),5.288250652741515,,,,,,Unknown
charging_station,Evie Networks,POINT (144.5721618 -37.7227909),5.288250652741515,,,,,,Type 2 Combo
charging_station,Evie Networks,POINT (151.2414403 -33.8254745),2.0,,,,,,Unknown
charging_station,NRMA,POINT (138.9586197 -34.524747),2.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (140.6035481 -34.2857972),2.0,,,,,,Type 2 Combo
charging_station,NRMA,POINT (148.6944413 -33.8340931),5.288250652741515,,,,,,CHAdeMO
charging_station,Central Victorian Greenhouse Alliance,POINT (143.741488 -37.0508473),2.0,,,,,Charging the Regions,Type 2 Combo
charging_station,,POINT (145.1431387 -37.9279602),5.288250652741515,,,,,,Unknown
charging_station,"Tesla, Inc.",POINT (149.5866349 -33.4190492),6.0,,,,,Tesla Supercharger,Tesla Supercharger
charging_station,Yurika,POINT (153.0042582 -26.6871515),2.0,,,,,Yurika,Type 2
charging_station,NRMA,POINT (145.7250878 -35.3549489),5.288250652741515,,,,,,Type 2 Combo
charging_station,,POINT (153.434591 -28.0293919),5.288250652741515,,,,,,Unknown
charging_station,Chargefox,POINT (145.6055893 -38.6680598),2.0,,,,,,Unknown
charging_station,,POINT (147.3947423 -41.0035878),5.288250652741515,,,,,,Unknown
charging_station,Electric Highway Tasmania,POINT (148.2483219 -41.3228603),2.0,,,,,Electric Highway Tasmania,Type 2
charging_station,Clarence Council,POINT (147.3689883 -42.8641403),1.0,,,,,,Type 2
charging_station,,POINT (143.6683449 -38.757058),2.0,,,,,,Unknown
charging_station,Chargefox,POINT (152.8221638 -31.4637923),5.288250652741515,,,,,,Type 2 Combo
charging_station,Electric Highway Tasmania,POINT (148.0752161 -42.1237047),2.0,,,,,Electric Highway Tasmania,Type 2
