id,lat,lon,tags
5004854821,-30.2814283,153.1315933,"{'amenity': 'charging_station', 'brand': 'Tesla Supercharger', 'brand:wikidata': 'Q17089620', 'brand:wikipedia': 'en:Tesla Supercharger', 'capacity': '6', 'description': 'Coffs Harbour Supercharger', 'fee': 'yes', 'name': 'Tesla Supercharger', 'opening_hours': '24/7', 'operator': 'Tesla, Inc.', 'operator:wikidata': 'Q478214', 'operator:wikipedia': 'en:Tesla, Inc.', 'short_name': 'Tesla', 'socket:tesla_supercharger': '6', 'socket:tesla_supercharger:output': '120 kW', 'socket:tesla_supercharger_ccs': '6', 'socket:tesla_supercharger_ccs:output': '120 kW'}"
5047210796,-33.5212508,151.3749048,"{'amenity': 'charging_station', 'operator': 'Tesla Motors'}"
5047211383,-34.4075897,150.8812521,"{'amenity': 'charging_station', 'brand': 'ChargePoint', 'brand:wikidata': 'Q5176149', 'fee': 'no', 'motorcar': 'yes', 'operator': 'ChargePoint', 'operator:wikidata': 'Q5176149', 'socket:type1': '2'}"
5132854542,-36.0990659,140.3557562,"{'amenity': 'charging_station', 'brand': 'Tesla Supercharger', 'brand:wikidata': 'Q17089620', 'brand:wikipedia': 'en:Tesla Supercharger', 'name': 'Tesla Supercharger', 'operator': 'Tesla, Inc.', 'operator:wikidata': 'Q478214', 'short_name': 'Tesla', 'socket:tesla_supercharger': '4'}"
5162910541,-33.8485098,138.6181952,"{'amenity': 'charging_station', 'brand': 'Tesla Supercharger', 'brand:wikidata': 'Q17089620', 'brand:wikipedia': 'en:Tesla Supercharger', 'capacity': '4', 'description': 'Clare Valley Supercharger', 'operator': 'Tesla, Inc.', 'operator:wikidata': 'Q478214', 'short_name': 'Tesla', 'socket:tesla_supercharger:output': '120 kW', 'socket:tesla_supercharger_ccs': '4'}"
5249804024,-35.4470219,138.3188648,{'amenity': 'charging_station'}
5270964444,-28.643176,153.615842,{'amenity': 'charging_station'}
5334248429,-25.197523,133.2007563,{'amenity': 'charging_station'}
5334248433,-27.304117,133.6228479,{'amenity': 'charging_station'}
5334248922,-37.921672,141.2756294,{'amenity': 'charging_station'}
5395408885,-37.7025331,144.9695097,"{'amenity': 'charging_station', 'capacity': '1', 'description': 'Free Moreland Council EV charging'}"
5438383393,-33.8829291,151.1946269,"{'amenity': 'charging_station', 'brand': 'Tesla Supercharger', 'brand:wikidata': 'Q17089620', 'brand:wikipedia': 'en:Tesla Supercharger', 'capacity': '8', 'description': 'Tesla Supercharger', 'name': 'Tesla Supercharger', 'operator': 'Tesla, Inc.', 'operator:wikidata': 'Q478214', 'short_name': 'Tesla', 'socket:tesla_supercharger': '8'}"
5519599141,-41.3828106,146.3248223,"{'amenity': 'charging_station', 'capacity': '2', 'fee': 'yes', 'motorcar': 'yes', 'note': 'https://www.facebook.com/photo?fbid=164585209891497&set=a.164595253223826', 'opening_hours': '24/7', 'operator': 'Sheffield Visitor Information Centre', 'parking:fee': 'no', 'socket:type2': '2', 'socket:type2:output': '22 kW'}"
5519606421,-42.8812739,147.324301,"{'amenity': 'charging_station', 'capacity': '2', 'fee': 'no', 'opening_hours': 'Mo-Fr 07:45-18:30; Sa-Su off', 'operator': 'Hobart City Council', 'parking:fee': 'yes', 'ref:ocm': 'OCM-125734', 'socket:type1': '2', 'socket:type1:output': '7 kW'}"
5553840397,-37.7407364,144.9697797,"{'amenity': 'charging_station', 'description': 'Free Moreland Council Car Charging Point', 'opening_hours': 'Mo-Su 09:00-09:00'}"
