,Landmark Name,Latitude,Longitude,Number of EV charger station,Name and distance of each station
57,Macaulay Railway Station (North Melbourne) - Train stop,-37.794964001386,144.936190756632,2,"Park Rises Residences: 891m, Kensington: 884m, "
58,Kensington Railway Station,-37.7939140126373,144.930710207518,2,"Park Rises Residences: 512m, Kensington: 500m, "
59,Royal Park,-37.7906174256581,144.953834240647,0,N/a
60,Shrine of Rembrance Reserve,-37.8320733992876,144.973628364465,4,"Secure Parking: 395m, Wilson’s Carpark: 407m, South Melbourne: 404m, Queens Road: 300m, "
61,Royal Botanic Gardens,-37.8306631583233,144.980850432751,2,"Wilson’s Carpark: 855m, Queens Road: 773m, "
62,Yarra Park,-37.820469374101,144.986671109615,2,"Pullman Melbourne on the Park: 582m, Pullman Melbourne: 599m, "
63,Icehouse,-37.8121881194053,144.935684018873,4,"District Docklands Shopping - West Carpark: 133m, Docklands: 164m, Docklands: 313m, Docklands: 328m, "
64,Parliament Railway Station,-37.8121572789173,144.973742010011,21,"Melbourne Museum: 844m, Park Hyatt Melbourne: 210m, Wilson Parking: 528m, Collins St: 447m, Lonsdale St: 424m, Lonsdale St: 914m, Russell St: 532m, Russell St: 529m, Flinders St: 513m, Secure Parking (Southern Cross): 371m, Pullman Melbourne on the Park: 936m, Parliament PI: 265m, ACDC Garage: 518m, Melbourne Central Carpark: 899m, Pullman Melbourne: 928m, Lonsdale St: 648m, Bourke St: 247m, Lonsdale St: 358m, Grand Hyatt Melbourne: 465m, Federation Square Car Park: 657m, QV Melbourne - Car Park: 648m, "
65,Flemington Racecourse Railway Station,-37.7869105822519,144.908190706069,0,N/a
66,Darling Square,-37.81299206932,144.989062559512,3,"Richmond Traders Coles: 956m, Pullman Melbourne on the Park: 611m, Pullman Melbourne: 600m, "
67,Parliament Reserve,-37.809852620638,144.973462202839,20,"Melbourne Museum: 587m, Park Hyatt Melbourne: 329m, Wilson Parking: 520m, Collins St: 641m, Lonsdale St: 331m, Lonsdale St: 902m, Russell St: 550m, Russell St: 520m, Flinders St: 741m, Secure Parking (Southern Cross): 450m, Parliament PI: 294m, ACDC Garage: 743m, Melbourne Central Carpark: 898m, Lonsdale St: 609m, Bourke St: 336m, Lonsdale St: 261m, Grand Hyatt Melbourne: 646m, Federation Square Car Park: 897m, QV Melbourne - Car Park: 609m, Carlton: 754m, "
68,North Melbourne Recreation Centre (Aquatic),-37.7999470049655,144.943290801869,0,N/a
69,North Melbourne Recreation Centre (Gymnasium),-37.7997051197931,144.940368286395,0,N/a
70,Carlton Baths,-37.7934377042609,144.971696548624,0,N/a
71,Conservatory,-37.814002127195,144.9785597431,16,"Park Hyatt Melbourne: 314m, Wilson Parking: 990m, Collins St: 751m, Lonsdale St: 893m, Russell St: 984m, Russell St: 990m, Flinders St: 713m, Secure Parking (Southern Cross): 811m, Pullman Melbourne on the Park: 466m, Parliament PI: 374m, ACDC Garage: 726m, Pullman Melbourne: 457m, Bourke St: 703m, Lonsdale St: 824m, Grand Hyatt Melbourne: 785m, Federation Square Car Park: 762m, "
72,Melbourne Visitor Centre,-37.8177352402006,144.967937138226,34,"Secure Parking (450 Flinders Lane): 805m, Park Hyatt Melbourne: 966m, Wilson Parking: 716m, Collins St: 361m, Lonsdale St: 867m, Lonsdale St: 813m, Lonsdale St: 999m, Flinders Ln: 821m, Holiday Inn Express Melbourne Southbank: 476m, Rialto Car Park: 919m, Russell St: 660m, Russell St: 716m, Wilson Parking Eureka: 505m, Southbank: 392m, Flinders St: 313m, Southbank: 365m, Secure Parking - 460 Lonsdale Street Car Park: 990m, Secure Parking (Southern Cross): 604m, Southbank: 855m, Southbank: 430m, ACDC Garage: 302m, Melbourne Central Carpark: 772m, Lonsdale St: 793m, Secure Parking (300 Flinders St): 349m, Bourke St: 678m, Queens & Collins: 600m, Lonsdale St: 870m, Grand Hyatt Melbourne: 356m, Federation Square Car Park: 293m, Flinders Ln: 908m, The Arts Centre: 554m, Bourke St: 770m, Flinders St: 346m, QV Melbourne - Car Park: 793m, "
73,Melbourne Visitor Booth,-37.8139525061193,144.964425882562,44,"Lonsdale St: 748m, Bourke St: 707m, Secure Parking (450 Flinders Lane): 724m, Wilson Parking: 420m, Alto Hotel: 897m, Queen Victoria Market - Underground Carpark: 871m, Collins St: 510m, Queen St: 875m, Lonsdale St: 634m, Holiday Inn Express Melbourne Little Collins: 912m, 300 Latrobe Street - Wilson Car Park: 548m, Lonsdale St: 301m, Lonsdale St: 554m, Flinders Ln: 725m, Holiday Inn Express Melbourne Southbank: 904m, Rialto Car Park: 828m, Russell St: 374m, Russell St: 420m, Latrobe Street: 964m, Wilson Parking Eureka: 867m, Southbank: 849m, Flinders St: 625m, Wilson Parking: 706m, Southbank: 775m, Secure Parking - 460 Lonsdale Street Car Park: 543m, Secure Parking (Southern Cross): 478m, Southbank: 578m, Southbank: 765m, ACDC Garage: 610m, Bourke St: 890m, Melbourne Central Carpark: 259m, Lonsdale St: 411m, Secure Parking (300 Flinders St): 481m, Collins St: 913m, Bourke St: 606m, Queens & Collins: 339m, Lonsdale St: 680m, Grand Hyatt Melbourne: 472m, Federation Square Car Park: 735m, Flagstaff Car Park: 767m, Flinders Ln: 807m, Bourke St: 478m, Flinders St: 455m, QV Melbourne - Car Park: 411m, "
74,State Netball Hockey Centre,-37.7857860016289,144.947580972027,0,N/a
75,University Square,-37.800410711209,144.960398319302,4,"Lygon Street Car park: 618m, Queen Victoria Market - Underground Carpark: 843m, Queen St: 847m, Carlton: 625m, "
76,Powlett Reserve,-37.8116929882498,144.987275671763,6,"Park Hyatt Melbourne: 980m, Collingwood Library: 960m, Pullman Melbourne on the Park: 596m, Parliament PI: 954m, Collingwood Library: 978m, Pullman Melbourne: 579m, "
77,Melbourne General Cemetery,-37.7891890023616,144.965785979892,0,N/a
78,Southern Cross Railway Station,-37.8181633057171,144.952944748845,28,"Lonsdale St: 587m, Bourke St: 486m, Secure Parking (450 Flinders Lane): 524m, Hyatt Centric Melbourne: 353m, Alto Hotel: 259m, Holiday Inn Express Melbourne Little Collins: 209m, Lonsdale St: 730m, Flinders Ln: 504m, Rialto Car Park: 423m, Melbourne Convention Exhibition Centre: 886m, Latrobe Street: 641m, Crown Metropol Melbourne: 917m, West Melbourne: 912m, Wilson Parking: 486m, Secure Parking - 460 Lonsdale Street Car Park: 740m, Downie St: 323m, Southbank: 533m, Bourke St: 254m, Flagstaff City Inn: 910m, Secure Parking (300 Flinders St): 973m, Collins St: 205m, Queens & Collins: 790m, South Wharf: 880m, Flagstaff Car Park: 613m, Flinders Ln: 426m, Bourke St: 633m, Cellarbrations: 994m, Flinders St: 972m, "
79,State Library Victoria,-37.8099852201226,144.964330322397,34,"Lonsdale St: 831m, Melbourne Museum: 948m, Bourke St: 874m, Lygon Street Car park: 903m, Wilson Parking: 339m, Queen Victoria Market - Underground Carpark: 584m, Collins St: 750m, Queen St: 592m, Lonsdale St: 471m, 300 Latrobe Street - Wilson Car Park: 323m, Lonsdale St: 175m, Lonsdale St: 638m, Carlton: 905m, Russell St: 358m, Russell St: 339m, Latrobe Street: 979m, Flinders St: 903m, Wilson Parking: 874m, Secure Parking - 460 Lonsdale Street Car Park: 626m, Secure Parking (Southern Cross): 533m, Southbank: 854m, ACDC Garage: 892m, Melbourne Central Carpark: 207m, Lonsdale St: 214m, Secure Parking (300 Flinders St): 921m, Bourke St: 625m, Queens & Collins: 707m, Lonsdale St: 544m, Grand Hyatt Melbourne: 716m, Flagstaff Car Park: 829m, Bourke St: 774m, Flinders St: 895m, QV Melbourne - Car Park: 213m, Carlton: 997m, "
80,Supreme Court,-37.8141494182814,144.957894024264,36,"Lonsdale St: 189m, Bourke St: 145m, Secure Parking (450 Flinders Lane): 519m, Hyatt Centric Melbourne: 719m, Wilson Parking: 928m, Alto Hotel: 369m, Queen Victoria Market - Underground Carpark: 706m, Queen St: 704m, Holiday Inn Express Melbourne Little Collins: 471m, 300 Latrobe Street - Wilson Car Park: 519m, Lonsdale St: 572m, Lonsdale St: 122m, Flinders Ln: 500m, Rialto Car Park: 551m, Russell St: 900m, Russell St: 928m, Latrobe Street: 422m, West Melbourne: 753m, Wilson Parking: 144m, Secure Parking - 460 Lonsdale Street Car Park: 128m, Downie St: 703m, Southbank: 221m, Southbank: 969m, Bourke St: 370m, Melbourne Central Carpark: 562m, Flagstaff City Inn: 750m, Lonsdale St: 857m, Secure Parking (300 Flinders St): 706m, Collins St: 469m, Queens & Collins: 373m, Flagstaff Car Park: 220m, Flinders Ln: 529m, Bourke St: 233m, Cellarbrations: 924m, Flinders St: 689m, QV Melbourne - Car Park: 856m, "
81,Richmond Football Club,-37.8216740022008,144.988156318781,2,"Pullman Melbourne on the Park: 765m, Pullman Melbourne: 782m, "
82,Melbourne Zoo,-37.7844449253712,144.951371205938,0,N/a
83,Melbourne International Shooting Club,-37.8292844929826,144.913415802464,6,"Lorbek Luxury Cars: 708m, Lorbek Luxury Cars: 606m, Port Melbourne: 589m, Port Melbourne: 705m, Port Melbourne: 332m, Coles Express with co-located Hungry Jacks: 334m, "
84,Docklands Park,-37.8209956785618,144.946781702342,10,"Hyatt Centric Melbourne: 795m, Alto Hotel: 868m, Holiday Inn Express Melbourne Little Collins: 825m, Rialto Car Park: 974m, Melbourne Convention Exhibition Centre: 796m, Downie St: 776m, Bourke St: 869m, Collins St: 823m, South Wharf: 919m, Flinders Ln: 987m, "
85,Point Park,-37.8233522700646,144.942102276731,0,N/a
86,Melbourne Theatre Company,-37.823930384816,144.968297429894,16,"Secure Parking: 912m, South Melbourne: 927m, South Melbourne: 976m, Holiday Inn Express Melbourne Southbank: 268m, South Melbourne: 888m, Crown Metropol Melbourne: 948m, Wilson Parking Eureka: 367m, Southbank: 311m, Flinders St: 889m, Southbank: 393m, Southbank: 451m, ACDC Garage: 888m, Secure Parking (300 Flinders St): 733m, Federation Square Car Park: 736m, The Arts Centre: 145m, Flinders St: 756m, "
87,Alexandra Gardens,-37.8206051404251,144.971796067365,15,"Collins St: 644m, Holiday Inn Express Melbourne Southbank: 474m, Wilson Parking Eureka: 594m, Southbank: 396m, Flinders St: 494m, Southbank: 482m, Secure Parking (Southern Cross): 928m, Southbank: 599m, ACDC Garage: 499m, Secure Parking (300 Flinders St): 731m, Bourke St: 947m, Grand Hyatt Melbourne: 667m, Federation Square Car Park: 321m, The Arts Centre: 431m, Flinders St: 741m, "
88,Richmond Railway Station (Richmond) - Train stop,-37.8238992659834,144.989400751664,0,N/a
89,Jolimont-MCG Railway Station (East Melbourne) - Train stop,-37.8165651811668,144.983641003377,4,"Park Hyatt Melbourne: 837m, Pullman Melbourne on the Park: 73m, Parliament PI: 879m, Pullman Melbourne: 90m, "
90,North Melbourne Recreation Reserve,-37.7988345257153,144.941452061463,0,N/a
91,Princes Park,-37.7870161727156,144.961115214367,0,N/a
92,Shrine of Remembrance,-37.8302080020387,144.973441913623,5,"Secure Parking: 434m, Wilson’s Carpark: 614m, South Melbourne: 430m, Queens Road: 508m, The Arts Centre: 975m, "
93,Showgrounds Railway Station (Flemington),-37.7834651216244,144.914902626775,0,N/a
94,Newmarket Railway Station,-37.7872726241965,144.929059958114,0,N/a
95,Melbourne Showgrounds,-37.7823097850883,144.910822117306,0,N/a
96,Argyle Square,-37.8031480577285,144.965761295089,16,"Melbourne Museum: 631m, Lygon Street Car park: 159m, Wilson Parking: 924m, Queen Victoria Market - Underground Carpark: 836m, Queen St: 845m, Lonsdale St: 843m, 300 Latrobe Street - Wilson Car Park: 886m, Lonsdale St: 938m, Carlton: 165m, Russell St: 977m, Russell St: 923m, Melbourne Central Carpark: 975m, Lonsdale St: 840m, Lonsdale St: 886m, QV Melbourne - Car Park: 840m, Carlton: 526m, "
97,Piazza Italia,-37.8025164192523,144.965863092947,13,"Melbourne Museum: 644m, Lygon Street Car park: 114m, Wilson Parking: 991m, Queen Victoria Market - Underground Carpark: 888m, Queen St: 897m, Lonsdale St: 904m, 300 Latrobe Street - Wilson Car Park: 952m, Carlton: 120m, Russell St: 991m, Lonsdale St: 910m, Lonsdale St: 945m, QV Melbourne - Car Park: 910m, Carlton: 523m, "
98,Murchinson Square,-37.8002735025371,144.973059252203,4,"Melbourne Museum: 483m, Lygon Street Car park: 565m, Carlton: 559m, Carlton: 345m, "
99,Westpac Centre,-37.8242456858593,144.979720306309,2,"Pullman Melbourne on the Park: 968m, Pullman Melbourne: 987m, "
100,Webb Bridge,-37.8232052384507,144.947291011905,7,"Hyatt Centric Melbourne: 809m, Holiday Inn Express Melbourne Little Collins: 921m, Melbourne Convention Exhibition Centre: 605m, Crown Metropol Melbourne: 949m, Downie St: 800m, Collins St: 920m, South Wharf: 758m, "
