,Landmark Name,Latitude,Longitude,Number of EV charger station,Name and distance of each station
18,Elisabeth Murdoch Hall,-37.8239733704282,144.967450979234,18,"Secure Parking: 916m, South Melbourne: 872m, Secure Parking (450 Flinders Lane): 951m, South Melbourne: 930m, Flinders Ln: 976m, Holiday Inn Express Melbourne Southbank: 241m, South Melbourne: 891m, Crown Metropol Melbourne: 874m, Wilson Parking Eureka: 319m, Southbank: 304m, Flinders St: 916m, Southbank: 370m, Southbank: 412m, ACDC Garage: 914m, Secure Parking (300 Flinders St): 702m, Federation Square Car Park: 770m, The Arts Centre: 141m, Flinders St: 726m, "
19,Melbourne Recital Centre,-37.8238327885805,144.967682729667,18,"Secure Parking: 929m, South Melbourne: 897m, Secure Parking (450 Flinders Lane): 958m, South Melbourne: 955m, Flinders Ln: 983m, Holiday Inn Express Melbourne Southbank: 233m, South Melbourne: 904m, Crown Metropol Melbourne: 897m, Wilson Parking Eureka: 321m, Southbank: 290m, Flinders St: 894m, Southbank: 362m, Southbank: 410m, ACDC Garage: 892m, Secure Parking (300 Flinders St): 697m, Federation Square Car Park: 747m, The Arts Centre: 124m, Flinders St: 721m, "
20,J.J Holland Park,-37.7982358832177,144.923837074813,2,"Park Rises Residences: 262m, Kensington: 272m, "
21,South Kensington Railway Station,-37.7997270537735,144.925837749713,2,"Park Rises Residences: 306m, Kensington: 321m, "
22,Royal Park Railway Station,-37.7812684282825,144.951667833921,0,N/a
23,Melbourne Central Railway Station,-37.8100167030855,144.963789344893,33,"Lonsdale St: 788m, Melbourne Museum: 987m, Bourke St: 834m, Lygon Street Car park: 920m, Wilson Parking: 381m, Queen Victoria Market - Underground Carpark: 542m, Collins St: 780m, Queen St: 550m, Lonsdale St: 519m, 300 Latrobe Street - Wilson Car Park: 275m, Lonsdale St: 155m, Lonsdale St: 596m, Carlton: 922m, Russell St: 397m, Russell St: 381m, Latrobe Street: 932m, Flinders St: 932m, Wilson Parking: 834m, Secure Parking - 460 Lonsdale Street Car Park: 585m, Secure Parking (Southern Cross): 572m, Southbank: 823m, ACDC Garage: 920m, Melbourne Central Carpark: 192m, Lonsdale St: 258m, Secure Parking (300 Flinders St): 918m, Bourke St: 668m, Queens & Collins: 689m, Lonsdale St: 591m, Grand Hyatt Melbourne: 746m, Flagstaff Car Park: 785m, Bourke St: 746m, Flinders St: 891m, QV Melbourne - Car Park: 257m, "
24,Riverside Park,-37.7948375315825,144.915607065132,2,"Park Rises Residences: 977m, Kensington: 976m, "
25,Flagstaff Gardens,-37.8111222889277,144.954696055235,26,"Lonsdale St: 279m, Bourke St: 434m, Secure Parking (450 Flinders Lane): 924m, Alto Hotel: 570m, Queen Victoria Market - Underground Carpark: 485m, Queen St: 477m, Holiday Inn Express Melbourne Little Collins: 750m, 300 Latrobe Street - Wilson Car Park: 537m, Lonsdale St: 763m, Lonsdale St: 378m, Flinders Ln: 902m, Rialto Car Park: 923m, Latrobe Street: 172m, West Melbourne: 343m, Wilson Parking: 435m, Secure Parking - 460 Lonsdale Street Car Park: 385m, Southbank: 642m, Bourke St: 585m, Melbourne Central Carpark: 778m, Flagstaff City Inn: 339m, Collins St: 745m, Queens & Collins: 802m, Flagstaff Car Park: 240m, Flinders Ln: 905m, Bourke St: 671m, Cellarbrations: 527m, "
26,Fawkner Park,-37.8413996708186,144.981625667877,3,"Wilson’s Carpark: 950m, Pullman Melbourne Albert Park: 997m, Queens Road: 971m, "
27,Fitzroy Gardens,-37.8129616331579,144.980455714669,13,"Park Hyatt Melbourne: 397m, Collins St: 937m, Lonsdale St: 998m, Flinders St: 910m, Secure Parking (Southern Cross): 961m, Pullman Melbourne on the Park: 416m, Parliament PI: 410m, ACDC Garage: 923m, Pullman Melbourne: 400m, Bourke St: 843m, Lonsdale St: 926m, Grand Hyatt Melbourne: 969m, Federation Square Car Park: 965m, "
28,Enterprize Park,-37.820210269629,144.959276859602,31,"Lonsdale St: 808m, Bourke St: 653m, Secure Parking (450 Flinders Lane): 165m, Hyatt Centric Melbourne: 306m, Alto Hotel: 599m, Holiday Inn Express Melbourne Little Collins: 437m, Lonsdale St: 798m, Flinders Ln: 186m, Holiday Inn Express Melbourne Southbank: 674m, Rialto Car Park: 191m, Melbourne Convention Exhibition Centre: 852m, Latrobe Street: 999m, Crown Metropol Melbourne: 605m, Wilson Parking Eureka: 545m, Southbank: 719m, Wilson Parking: 652m, Southbank: 621m, Secure Parking - 460 Lonsdale Street Car Park: 800m, Downie St: 326m, Southbank: 463m, Southbank: 505m, Bourke St: 580m, Secure Parking (300 Flinders St): 469m, Collins St: 443m, Queens & Collins: 513m, South Wharf: 722m, Flagstaff Car Park: 848m, Flinders Ln: 200m, The Arts Centre: 788m, Bourke St: 489m, Flinders St: 481m, "
29,Flinders Street Railway Station,-37.8179063007545,144.967064817875,35,"Bourke St: 995m, Secure Parking (450 Flinders Lane): 726m, Wilson Parking: 738m, Collins St: 421m, Lonsdale St: 902m, Lonsdale St: 795m, Lonsdale St: 945m, Flinders Ln: 743m, Holiday Inn Express Melbourne Southbank: 445m, Rialto Car Park: 841m, Russell St: 681m, Russell St: 738m, Wilson Parking Eureka: 455m, Southbank: 370m, Flinders St: 389m, Wilson Parking: 995m, Southbank: 324m, Secure Parking - 460 Lonsdale Street Car Park: 937m, Secure Parking (Southern Cross): 644m, Southbank: 785m, Southbank: 372m, ACDC Garage: 377m, Melbourne Central Carpark: 753m, Lonsdale St: 804m, Secure Parking (300 Flinders St): 270m, Bourke St: 728m, Queens & Collins: 536m, Lonsdale St: 911m, Grand Hyatt Melbourne: 411m, Federation Square Car Park: 371m, Flinders Ln: 829m, The Arts Centre: 537m, Bourke St: 703m, Flinders St: 268m, QV Melbourne - Car Park: 804m, "
30,Metropolitan Fire Brigade (MFB),-37.8092318636838,144.975247619376,17,"Melbourne Museum: 560m, Park Hyatt Melbourne: 310m, Wilson Parking: 691m, Collins St: 782m, Lonsdale St: 496m, Russell St: 722m, Russell St: 691m, Flinders St: 863m, Secure Parking (Southern Cross): 616m, Parliament PI: 230m, ACDC Garage: 867m, Lonsdale St: 776m, Bourke St: 497m, Lonsdale St: 428m, Grand Hyatt Melbourne: 792m, QV Melbourne - Car Park: 776m, Carlton: 737m, "
31,Commonwealth Law Courts,-37.8123961677596,144.955823833257,32,"Lonsdale St: 116m, Bourke St: 270m, Secure Parking (450 Flinders Lane): 756m, Hyatt Centric Melbourne: 891m, Alto Hotel: 441m, Queen Victoria Market - Underground Carpark: 554m, Queen St: 548m, Holiday Inn Express Melbourne Little Collins: 608m, 300 Latrobe Street - Wilson Car Park: 499m, Lonsdale St: 673m, Lonsdale St: 223m, Flinders Ln: 734m, Rialto Car Park: 762m, Latrobe Street: 193m, West Melbourne: 493m, Wilson Parking: 270m, Secure Parking - 460 Lonsdale Street Car Park: 233m, Downie St: 868m, Southbank: 470m, Bourke St: 453m, Melbourne Central Carpark: 680m, Flagstaff City Inn: 490m, Lonsdale St: 966m, Secure Parking (300 Flinders St): 972m, Collins St: 604m, Queens & Collins: 635m, Flagstaff Car Park: 79m, Flinders Ln: 742m, Bourke St: 499m, Cellarbrations: 670m, Flinders St: 954m, QV Melbourne - Car Park: 966m, "
32,Macarthur Square,-37.7983318676737,144.971514146104,4,"Melbourne Museum: 705m, Lygon Street Car park: 577m, Carlton: 572m, Carlton: 542m, "
33,City Baths,-37.8071585350561,144.963189789721,23,"Lonsdale St: 945m, Melbourne Museum: 882m, Lygon Street Car park: 652m, Wilson Parking: 614m, Queen Victoria Market - Underground Carpark: 437m, Queen St: 447m, Lonsdale St: 656m, 300 Latrobe Street - Wilson Car Park: 388m, Lonsdale St: 469m, Lonsdale St: 790m, Carlton: 656m, Russell St: 651m, Russell St: 614m, Secure Parking - 460 Lonsdale Street Car Park: 781m, Secure Parking (Southern Cross): 810m, Melbourne Central Carpark: 509m, Lonsdale St: 493m, Bourke St: 874m, Queens & Collins: 988m, Lonsdale St: 726m, Flagstaff Car Park: 930m, QV Melbourne - Car Park: 493m, Carlton: 872m, "
34,Westgate Park,-37.8314918578874,144.908824792698,6,"Lorbek Luxury Cars: 979m, Lorbek Luxury Cars: 925m, Port Melbourne: 931m, Port Melbourne: 979m, Port Melbourne: 748m, Coles Express with co-located Hungry Jacks: 761m, "
35,North Melbourne Railway Station,-37.8073823625058,144.942429848025,7,"District Docklands Shopping - West Carpark: 776m, Docklands: 747m, Docklands: 594m, West Melbourne: 812m, Docklands: 633m, Flagstaff City Inn: 816m, Cellarbrations: 631m, "
